year,seed,variable_resource_cost_gbp,demand_mwh,unserved_mwh,scarcity_hours,emissions_t,renewable_curtailment_mwh,balance_max_mw,storage_residual_max_mwh,mean_price_gbp_per_mwh,consumer_energy_payment_gbp,fixed_cost_gbp,capacity_payment_gbp,solve_seconds,capacity_gas_mw,capacity_peaker_mw,capacity_wind_mw,capacity_solar_mw,design
2029,107,13341493188.522955,235839046.87499994,138722.95413722759,208.57142857142858,53352281.07633323,0.0,3.637978807091713e-12,2.2737367544323206e-13,254.28571428571436,61304257962.658455,1299500000.0,0.0,0.2462170000653714,16500.0,7800.0,15500.0,15000.0,energy_only
2030,107,11704419137.054274,241735023.04687494,0.0,0.0,50312022.91963837,0.0,3.637978807091713e-12,2.2737367544323206e-13,109.99999999999994,26954545308.543793,1444750000.0,0.0,0.16415040008723736,17750.0,9400.0,17250.0,17000.0,energy_only
2031,107,10982104448.58725,247778398.62304682,0.0,0.0,47496399.81815246,0.0,3.637978807091713e-12,2.2737367544323206e-13,103.39732555071885,26001445874.647102,1590000000.0,0.0,0.16242670000065118,19000.0,11000.0,19000.0,19000.0,energy_only
2026,107,38359286007.12114,219000000.00000003,4307382.136466298,2294.285714285715,54489275.12116338,0.0,3.637978807091713e-12,2.2737367544323206e-13,1788.0952380952378,404198493793.14526,1040000000.0,1539000000.0,0.1691999000031501,17000.0,3000.0,12000.0,9000.0,stylised_capacity_payment
2027,107,26448155348.91569,224475000.0,2230855.97340292,1564.2857142857142,56369462.36063866,0.0,3.637978807091713e-12,2.2737367544323206e-13,1301.4285714285716,308276337204.3718,1084000000.0,1659000000.0,0.25946890003979206,17000.0,4600.0,12000.0,11000.0,stylised_capacity_payment
2028,107,12807225955.337568,230086874.99999997,49522.45559870923,104.28571428571429,54263898.79676504,0.0,3.637978807091713e-12,2.2737367544323206e-13,178.80952380952385,42406850488.86029,1229250000.0,1883062500.0,0.15811389998998493,18250.0,6200.0,13750.0,13000.0,stylised_capacity_payment
2029,107,13341493188.522955,235839046.87499994,138722.95413722759,208.57142857142858,53352281.07633323,0.0,3.637978807091713e-12,2.2737367544323206e-13,254.28571428571436,61304257962.658455,1299500000.0,1904625000.0,0.16918860003352165,16500.0,7800.0,15500.0,15000.0,stylised_capacity_payment
2030,107,11704419137.054274,241735023.04687494,0.0,0.0,50312022.91963837,0.0,3.637978807091713e-12,2.2737367544323206e-13,109.99999999999994,26954545308.543793,1444750000.0,2128687500.0,0.16065959993284196,17750.0,9400.0,17250.0,17000.0,stylised_capacity_payment
2031,107,10982104448.58725,247778398.62304682,0.0,0.0,47496399.81815246,0.0,3.637978807091713e-12,2.2737367544323206e-13,103.39732555071885,26001445874.647102,1590000000.0,2352750000.0,0.27844429994001985,19000.0,11000.0,19000.0,19000.0,stylised_capacity_payment
2026,108,38359286007.12114,219000000.00000003,4307382.136466298,2294.285714285715,54489275.12116338,0.0,3.637978807091713e-12,2.2737367544323206e-13,1788.0952380952378,404198493793.14526,1040000000.0,0.0,0.17652420001104474,17000.0,3000.0,12000.0,9000.0,energy_only
